iter	Passed	Remaining
0	1	117
1	2	104
2	3	97
3	3	92
4	4	91
5	5	89
6	6	89
7	7	88
8	8	88
9	9	87
10	10	86
11	11	85
12	12	84
13	13	83
14	14	82
15	15	81
16	16	82
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	69
28	28	68
29	29	67
30	30	66
31	31	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
