iter	Passed	Remaining
0	152	152342
1	153	76635
2	154	51401
3	156	38947
4	158	31448
5	159	26475
6	160	22811
7	161	20056
8	162	17921
9	163	16212
10	165	14839
11	166	13669
12	166	12679
13	168	11837
14	169	11154
15	170	10513
16	171	9943
17	172	9431
18	173	8973
19	174	8550
20	175	8178
21	176	7842
22	177	7533
23	178	7249
24	179	6989
25	180	6747
26	181	6524
27	182	6321
28	183	6149
29	184	5971
30	186	5815
31	187	5679
32	188	5534
33	189	5394
34	191	5270
35	192	5147
36	193	5032
37	194	4920
38	196	4830
39	198	4768
40	199	4674
41	201	4599
42	202	4509
43	203	4425
44	204	4345
45	205	4270
46	207	4198
47	208	4130
48	209	4063
49	210	4002
50	211	3943
51	213	3884
52	214	3828
53	216	3785
54	217	3736
55	218	3685
56	219	3638
57	221	3594
58	222	3549
59	223	3504
60	224	3462
61	226	3420
62	227	3380
63	228	3339
64	229	3299
65	230	3262
66	231	3225
67	232	3189
68	233	3155
69	234	3121
70	235	3087
71	237	3055
72	238	3024
73	239	2996
74	240	2967
75	241	2939
76	242	2911
77	243	2882
78	244	2855
79	246	2831
80	247	2809
81	248	2786
82	249	2757
83	250	2735
84	252	2713
85	254	2706
86	255	2686
87	257	2665
88	258	2644
89	259	2622
90	260	2602
91	261	2582
92	262	2562
93	263	2543
94	265	2524
95	266	2507
96	269	2511
97	272	2505
98	273	2490
99	275	2478
100	276	2464
101	278	2447
102	279	2430
103	280	2414
104	283	2414
105	284	2402
106	286	2386
107	287	2371
108	288	2356
109	289	2341
110	290	2326
111	291	2312
112	292	2298
113	293	2284
114	295	2270
115	296	2256
116	297	2241
117	298	2232
118	300	2221
119	301	2208
120	302	2195
121	303	2181
122	304	2168
123	306	2162
124	307	2150
125	308	2141
126	309	2128
127	312	2126
128	315	2131
129	317	2122
130	318	2112
131	319	2100
132	320	2089
133	321	2078
134	322	2067
135	323	2057
136	324	2046
137	326	2037
138	327	2028
139	328	2019
140	329	2009
141	330	1997
142	331	1987
143	332	1977
144	333	1968
145	335	1963
146	337	1955
147	338	1947
148	341	1950
149	343	1945
150	344	1937
151	345	1928
152	346	1919
153	347	1910
154	348	1902
155	350	1894
156	351	1886
157	352	1877
158	353	1869
159	354	1861
160	355	1851
161	356	1846
162	357	1838
163	359	1830
164	360	1823
165	361	1815
166	362	1808
167	363	1801
168	364	1793
169	366	1788
170	367	1783
171	369	1776
